word_id,synset_id,NoYES,NoTOTAL,acc_rate
34957,v#01739424,0,5,0.0000
34957,v#01757957,0,5,0.0000
34957,v#01758181,0,5,0.0000
34957,v#01828422,0,5,0.0000
34957,v#01829600,0,5,0.0000
34957,v#01870507,0,5,0.0000
34958,v#00766532,0,5,0.0000
34958,v#00766986,0,5,0.0000
34958,v#00805632,0,5,0.0000
34958,v#01522764,0,5,0.0000
34958,v#01558731,0,5,0.0000
34958,v#01559048,0,5,0.0000
34958,v#01673681,0,5,0.0000
34958,v#01739424,0,5,0.0000
34958,v#01757957,0,5,0.0000
34958,v#01758181,0,5,0.0000
34958,v#01828422,0,5,0.0000
34958,v#01829600,0,5,0.0000
34958,v#01870507,0,5,0.0000
35184,a#00076652,0,5,0.0000
35184,a#01720635,0,5,0.0000
35184,a#01721444,0,5,0.0000
35184,a#01769338,0,5,0.0000
35184,a#01779195,0,5,0.0000
35184,a#01837595,0,5,0.0000
35184,a#02090222,0,5,0.0000
35184,a#02162355,0,5,0.0000
35528,n#03943113,0,5,0.0000
35528,n#03994804,0,5,0.0000
35528,n#03995297,0,5,0.0000
35528,n#03996081,0,5,0.0000
35528,n#04817735,0,5,0.0000
35528,n#05134551,0,5,0.0000
35528,n#06268839,0,5,0.0000
35528,n#06270582,0,5,0.0000
35528,n#06667120,0,5,0.0000
35528,n#06698176,0,5,0.0000
35528,n#09922737,0,5,0.0000
35528,n#10391618,0,5,0.0000
35528,n#10890324,0,5,0.0000
35528,n#10968320,0,5,0.0000
35529,n#03199185,0,5,0.0000
35529,n#03199633,0,5,0.0000
35530,n#00015594,0,5,0.0000
35530,n#03900085,0,5,0.0000
35530,n#03943113,0,5,0.0000
35530,n#03967504,0,5,0.0000
35530,n#03974960,0,5,0.0000
35530,n#03977358,0,5,0.0000
35530,n#03977593,0,5,0.0000
35530,n#03991813,0,5,0.0000
35530,n#03995297,0,5,0.0000
35530,n#03996081,0,5,0.0000
35530,n#06268839,0,5,0.0000
35530,n#06667120,0,5,0.0000
35530,n#10843624,0,5,0.0000
35530,n#10850147,0,5,0.0000
35530,n#10859737,0,5,0.0000
35530,n#10859852,0,5,0.0000
35530,n#10861803,0,5,0.0000
35530,n#10890324,0,5,0.0000
35530,n#10890499,0,5,0.0000
35530,n#10952869,0,5,0.0000
35530,n#10968320,0,5,0.0000
35530,n#10969191,0,5,0.0000
36269,r#00091612,0,5,0.0000
36269,r#00481799,0,5,0.0000
36269,r#00481896,0,5,0.0000
36677,v#01247189,0,5,0.0000
36677,v#01481912,0,5,0.0000
37014,v#00403367,0,5,0.0000
37014,v#00750961,0,5,0.0000
37014,v#00805632,0,5,0.0000
37014,v#00828539,0,5,0.0000
37014,v#00828871,0,5,0.0000
37014,v#01185771,0,5,0.0000
37014,v#01269947,0,5,0.0000
37014,v#01509295,0,5,0.0000
37014,v#01522764,0,5,0.0000
37014,v#01558731,0,5,0.0000
37014,v#01560310,0,5,0.0000
37014,v#01560555,0,5,0.0000
37014,v#01574273,0,5,0.0000
37014,v#01648949,0,5,0.0000
37014,v#01731370,0,5,0.0000
37014,v#01757957,0,5,0.0000
37014,v#01758181,0,5,0.0000
37014,v#01795751,0,5,0.0000
37014,v#01807461,0,5,0.0000
37014,v#01828422,0,5,0.0000
37014,v#01829600,0,5,0.0000
37014,v#01832078,0,5,0.0000
37014,v#01842330,0,5,0.0000
37014,v#01842620,0,5,0.0000
37014,v#01870507,0,5,0.0000
37015,v#00152625,0,5,0.0000
